route_id,src_f,dest_f
50,Pod@CleanTech One,outside School of Art Design and Media
70,Pod@NTU Canteen 2,Pod@NTU Hall 12
148,opp Lee Wee Nam Library & Canteen A / Outside NIE,opp School of Art Design and Media / Beside Hall 8
153,outside Canteen 2,outside School of Art Design and Media
157,Pod@NTU Hall 12,opp School of Art Design and Media / Beside Hall 8
160,opp Hall 10 & 11,opp Wee Kim Wee School of Communications & Information (S1)
164,opp Hall 10 & 11,opp Hall 5
174,before Lorong Danau,at Administration Building
320,opp Lee Wee Nam Library & Canteen A / Outside NIE,opp Hall 10 & 11
326,opp Lee Wee Nam Library & Canteen A / Outside NIE,after Lorong Danau
328,Pod@NTU LWN Library,Pod@CleanTech One
336,Pod@CleanTech One,Pod@NTU LWN Library
357,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
517,opp Lee Wee Nam Library & Canteen A / Outside NIE,opp School of Art Design and Media / Beside Hall 8
548,Pod@CleanTech One,outside Canteen 2
595,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
621,opp Blk 643,after Lorong Danau
640,Pod@CleanTech One,outside Hall 4
660,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
664,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
673,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
677,Pod@CleanTech One,opp Nanyang Heights / Beside Hall 9
680,before Lorong Danau,at Administration Building
685,before Lorong Danau,at Administration Building
689,before Lorong Danau,at Administration Building
731,before Lorong Danau,at PUB Sub station
733,Pod@CleanTech One,Pod@NTU Hall 12
755,Pod@NTU LWN Library,Pod@NTU Research Tecno Plaza
775,Pod@NTU Hall 12,Pod@CleanTech One
777,Pod@NTU Research Tecno Plaza,Pod@NTU Canteen 2
816,outside Canteen A & Lee Wee Nam Library / Opp NIE,Pioneer Station
827,opp School of Art Design and Media / Beside Hall 8,opp Nanyang Heights / Beside Hall 9
849,opp Lee Wee Nam Library & Canteen A / Outside NIE,opp School of Art Design and Media / Beside Hall 8
900,outside Innovation Centre Canteen B & Chinese Heritage Centre,opp Nanyang Heights / Beside Hall 9
926,Pod@NTU LWN Library,Pod@NTU North-Hill Residence
932,outside Canteen 2,at Administration Building
971,outside Innovation Centre Canteen B & Chinese Heritage Centre,outside Canteen 2
973,at Administration Building,opp Canteen 2
981,outside Canteen 2,opp Nanyang Heights / Beside Hall 9
1007,outside Innovation Centre Canteen B & Chinese Heritage Centre,opp Nanyang Heights / Beside Hall 9
1015,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1037,Pod@NTU North-Hill Residence,Pod@NTU Canteen 2
1063,Pod@NTU North-Hill Residence,Pod@NTU Canteen 2
1093,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1106,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1122,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1132,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1140,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1155,Pod@NTU Research Tecno Plaza,Pod@NTU SRC
1164,Pod@NTU Research Tecno Plaza,Pod@NTU SRC
1171,outside Hall 1,after Lorong Danau
1180,Pod@NTU North-Hill Residence,outside School of Biological Sciences
1190,Pod@CleanTech One,Pod@NTU Hall 12
1197,Pod@NTU Research Tecno Plaza,Pod@NTU SRC
1254,Pod@NTU Research Tecno Plaza,Pod@NTU SRC
1258,Pod@NTU Hall 12,at Administration Building
1265,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1276,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1282,Pod@NTU Hall 12,outside Innovation Centre Canteen B & Chinese Heritage Centre
1284,Pod@NTU Hall 12,Pod@NTU Canteen 2
1287,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1296,Pod@NTU Hall 12,opp School of Art Design and Media / Beside Hall 8
1308,Pod@NTU Hall 12,Pod@NTU Canteen 2
1339,Pod@NTU Canteen 2,outside Hall 10 & 11
1344,Pod@CleanTech One,Pod@NTU Canteen 2
1354,Pod@NTU Canteen 2,outside Hall 10 & 11
1370,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1395,outside Hall 12 & 13 / Near Hall 3 & 16,after Lorong Danau
1398,Pod@NTU Canteen 2,Pod@NTU Research Tecno Plaza
1407,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1410,Pod@NTU Canteen 2,Pod@NTU North-Hill Residence
1417,Pod@NTU Canteen 2,outside Hall 10 & 11
1422,Pod@NTU Hall 12,outside School of Art Design and Media
1425,Pod@NTU Hall 12,Pod@NTU Canteen 2
