Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2017,8,1,0,0,0,0,29.2,31.6,27.9,10.1,37.1
Jurong (West),2017,8,2,1.6,1.6,1.6,1.6,29.1,31.4,27.1,12.6,48.2
Jurong (West),2017,8,3,0,0,0,0,29.1,31.3,27.6,12.2,39.2
Jurong (West),2017,8,4,0,0,0,0,29.1,32,27.3,11.5,38.5
Jurong (West),2017,8,5,0,0,0,0,29.2,32.4,27.6,11.5,34.6
Jurong (West),2017,8,6,0.2,0.2,0.2,0.2,28.8,32.1,25.7,9.4,35.3
Jurong (West),2017,8,7,4.6,4.6,4.6,4.6,28.2,29.7,25.7,9,37.4
Jurong (West),2017,8,8,11.6,6.4,6.8,6.8,26.6,29.7,24.5,6.1,27
Jurong (West),2017,8,9,0,0,0,0,27.1,30.5,24.6,8.6,32.8
Jurong (West),2017,8,10,0,0,0,0,28.3,31.8,25.5,7.2,30.6
Jurong (West),2017,8,11,67,43.6,53,56.2,26.1,28.1,23.6,5,27
Jurong (West),2017,8,12,19.8,13.4,14,14.6,25.6,28.3,23.4,5.8,23.8
Jurong (West),2017,8,13,19.6,18.4,19.4,19.4,26.3,27.8,24.4,5.8,23
Jurong (West),2017,8,14,0,0,0,0,27.7,31,25.1,7.2,34.6
Jurong (West),2017,8,15,49.6,18.6,32,41,25.3,27.7,22.4,6.5,32.8
Jurong (West),2017,8,16,0,0,0,0,27.7,31.7,24.7,7.6,29.9
Jurong (West),2017,8,17,43.2,23.8,32.2,37.2,26.5,31.4,23.5,7.2,32.8
Jurong (West),2017,8,18,2.2,2,2.2,2.2,27.2,31.7,24.4,6.1,27
Jurong (West),2017,8,19,1.4,1.2,1.4,1.4,28.4,31.8,25.6,9.4,34.9
Jurong (West),2017,8,20,0,0,0,0,28.8,32.3,27,9.4,37.8
