id,lat,lon,marker,route_name,mode_route_id,source_actual,destination_actual,source_id,destination_id,order
1,1.339323347,103.705457,1,Bus_179,5,22009,22501,30,31,0
2,1.339323347,103.705457,1,Bus_179,5,22009,22501,30,31,1
3,1.34018,103.70551,1,Bus_179,5,22009,22501,30,31,2
4,1.34027,103.70547,1,Bus_179,5,22009,22501,30,31,3
5,1.34023,103.70539,1,Bus_179,5,22009,22501,30,31,4
6,1.33995,103.70458,1,Bus_179,5,22009,22501,30,31,5
7,1.33986,103.70441,1,Bus_179,5,22009,22501,30,31,6
8,1.33983,103.7043,1,Bus_179,5,22009,22501,30,31,7
9,1.3397,103.70423,1,Bus_179,5,22009,22501,30,31,8
10,1.33962,103.70419,1,Bus_179,5,22009,22501,30,31,9
11,1.33948,103.70415,1,Bus_179,5,22009,22501,30,31,10
12,1.33911,103.70428,1,Bus_179,5,22009,22501,30,31,11
13,1.33899,103.70433,1,Bus_179,5,22009,22501,30,31,12
14,1.33877,103.7044,1,Bus_179,5,22009,22501,30,31,13
15,1.33856,103.70447,1,Bus_179,5,22009,22501,30,31,14
16,1.33835,103.70452,1,Bus_179,5,22009,22501,30,31,15
17,1.33826,103.70455,1,Bus_179,5,22009,22501,30,31,16
18,1.33823,103.70445,1,Bus_179,5,22009,22501,30,31,17
19,1.33811,103.70417,1,Bus_179,5,22009,22501,30,31,18
20,1.3378,103.70327,1,Bus_179,5,22009,22501,30,31,19
21,1.33773,103.70305,1,Bus_179,5,22009,22501,30,31,20
22,1.3377,103.70298,1,Bus_179,5,22009,22501,30,31,21
23,1.3377,103.70297,1,Bus_179,5,22009,22501,30,31,22
24,1.337677714,103.7029785,1,Bus_179,5,22009,22501,30,31,23
25,1.337677714,103.7029785,1,Bus_179,5,22009,22501,30,31,24
26,1.337677714,103.7029785,2,Bus_179,5,22501,22511,31,32,0
27,1.337677714,103.7029785,2,Bus_179,5,22501,22511,31,32,1
28,1.3377,103.70297,2,Bus_179,5,22501,22511,31,32,2
29,1.33765,103.70282,2,Bus_179,5,22501,22511,31,32,3
30,1.3376,103.70263,2,Bus_179,5,22501,22511,31,32,4
31,1.33758,103.70246,2,Bus_179,5,22501,22511,31,32,5
32,1.33757,103.70229,2,Bus_179,5,22501,22511,31,32,6
