id,Stop_name,Lat,Long,stop_id,is_fixed_stop,stop_desc
1,at Blk 649A,1.337710664,103.6972529,377906,t,Blk 649A
2,outside Hall 1,1.345755085,103.6878008,378233,t,Hall 1
3,outside Canteen 2,1.348946031,103.6856979,378237,t,Canteen 2
4,at Student Services Centre,1.345738996,103.6828494,383011,t,Student Services Centre
5,at Administration Building,1.344891652,103.6815754,383013,t,Administration Building
6,opp Canteen 2,1.349042564,103.685478,383014,t,Canteen 2
7,outside Canteen A & Lee Wee Nam Library / Opp NIE,1.347943163,103.6803764,378224,t,Canteen A & Lee Wee Nam Library / Opp NIE
8,outside School of Biological Sciences,1.344510883,103.6786491,382995,t,School of Biological Sciences
9,outside Wee Kim Wee School of Communications & Information (S1),1.342076106,103.6791426,378227,t,Wee Kim Wee School of Communications & Information (S1)
10,outside Hall 7,1.339963105,103.6816692,378228,t,Hall 7
11,outside Innovation Centre Canteen B & Chinese Heritage Centre,1.34248369,103.683697,378229,t,Innovation Centre Canteen B & Chinese Heritage Centre
12,outside Hall 4,1.343674264,103.6861861,378230,t,Hall 4
13,opp Nanyang Heights / Beside Hall 9,1.351504148,103.6857784,382998,t,Nanyang Heights / Beside Hall 9
14,outside Graduate Hall / Hall 11,1.355944646,103.6862317,378202,t,Graduate Hall / Hall 11
15,outside Hall 12 & 13 / Near Hall 3 & 16,1.351917093,103.6804891,378204,t,Hall 12 & 13 / Near Hall 3 & 16
16,opp Lee Wee Nam Library & Canteen A / Outside NIE,1.347943163,103.6803764,378225,t,Lee Wee Nam Library & Canteen A / Outside NIE
17,opp Hall 3 & 16,1.350292127,103.6807224,382999,t,Hall 3 & 16
18,opp Hall 14 & 15,1.35317738,103.6817604,378203,t,Hall 14 & 15
19,opp Hall 10 & 11,1.354384037,103.6870658,378222,t,Hall 10 & 11
20,outside Nanyang Heights / Opp Hall 8 & 9,1.350908863,103.6857677,383003,t,Nanyang Heights / Opp Hall 8 & 9
21,outside Hall 6 / Opp Hall 2,1.347111908,103.6865562,378234,t,Hall 6 / Opp Hall 2
22,opp Hall 5,1.343754708,103.6869049,383004,t,Hall 5
23,opp Innovation Centre & Canteen B / Near Chinese Heritage Centre,1.341856226,103.6838365,383006,t,Innovation Centre & Canteen B / Near Chinese Heritage Centre
24,opp School of Physical & Mathematical Sciences,1.341904492,103.6811864,383009,t,School of Physical & Mathematical Sciences
25,opp Wee Kim Wee School of Communications & Information (S1),1.342076106,103.6791426,383010,t,Wee Kim Wee School of Communications & Information (S1)
26,opp School of Civil & Environmental Engineering (N1),1.345830166,103.6784184,378226,t,School of Civil & Environmental Engineering (N1)
27,at ADM Hall 8,1.349975714,103.6839491,378207,t,ADM Hall 8
28,outside School of Civil & Environmental Engineering (N1),1.346087587,103.6784399,383015,t,School of Civil & Environmental Engineering (N1)
29,outside Hall 5,1.344156929,103.6876345,383018,t,Hall 5
30,at Boon Lay Interchange,1.339978,103.705128,22009,t,Boon Lay Interchange
31,at Blk 662A,1.337523,103.702292,22501,t,Blk 662A
32,at Blk 658C,1.337494,103.700007,22511,t,Blk 658C
33,at Blk 651A,1.337477,103.697449,22521,t,Blk 651A
34,opp Blk 643,1.338319,103.695626,22451,t,Blk 643
35,at Blk 978,1.340608,103.694404,27301,t,Blk 978
36,at Blk 948,1.343976,103.691666,27321,t,Blk 948
37,outside Hall 1,1.345786,103.687962,27281,t,Hall 1
38,opp Hall 6 / Outside Hall 2,1.347846,103.686598,27291,t,Hall 6 / Outside Hall 2
39,outside Canteen 2,1.348929,103.685628,27311,t,Canteen 2
40,outside School of Art Design and Media,1.34987,103.68378,27061,t,School of Art Design and Media
41,outside Canteen A & Lee Wee Nam Library / Opp NIE,1.347962,103.680743,27211,t,Canteen A & Lee Wee Nam Library / Opp NIE
42,outside School of Civil & Environmental Engineering (N1),1.346044,103.67873,27221,t,School of Civil & Environmental Engineering (N1)
43,outside Wee Kim Wee School of Communications & Information (S1),1.342017,103.679559,27231,t,Wee Kim Wee School of Communications & Information (S1)
44,outside Hall 7,1.340107,103.682112,27241,t,Hall 7
45,outside Innovation Centre Canteen B & Chinese Heritage Centre,1.342367,103.683969,27251,t,Innovation Centre Canteen B & Chinese Heritage Centre
46,outside Hall 4,1.343878,103.686362,27261,t,Hall 4
47,at Blk 840,1.344001,103.69184,27329,t,Blk 840
48,at Blk 705,1.340909,103.694345,27309,t,Blk 705
49,at Blk 643,1.339114,103.695474,22459,t,Blk 643
50,at Blk 649A,1.337678,103.697287,22529,t,Blk 649A
51,at Blk 608,1.337706,103.699952,22519,t,Blk 608
52,at Blk 663E,1.337951,103.7029,22509,t,Blk 663E
53,at Blk 683A,1.34232,103.7052,22489,t,Blk 683A
54,at Blk 680C,1.345256,103.706075,21371,t,Blk 680C
55,at Civil Defence School,1.349139,103.703923,27091,t,Civil Defence School
56,at Westville,1.352678,103.701161,27101,t,Westville
57,before Nanyang Avenue,1.356841,103.695246,27121,t,Nanyang Avenue
58,before Lorong Danau,1.355995,103.69194,27171,t,Lorong Danau
59,at PUB Sub station,1.355695,103.688357,27181,t,PUB Sub station
60,outside Graduate Hall / Hall 11,1.356051,103.686185,27011,t,Graduate Hall / Hall 11
61,outside Hall 14 & 15,1.353277,103.681895,27021,t,Hall 14 & 15
62,outside Hall 12 & 13 / Near Hall 3 & 16,1.351839,103.680497,27031,t,Hall 12 & 13 / Near Hall 3 & 16
63,outside NIE Carpark Y,1.350634,103.678594,27041,t,NIE Carpark Y
64,outside NIE Library,1.348049,103.676913,27051,t,NIE Library
65,opp Lee Wee Nam Library & Canteen A / Outside NIE,1.347949,103.680416,27219,t,Lee Wee Nam Library & Canteen A / Outside NIE
66,opp School of Art Design and Media / Beside Hall 8,1.350195,103.684197,27069,t,School of Art Design and Media / Beside Hall 8
67,opp Nanyang Heights / Beside Hall 9,1.351511,103.685674,27209,t,Nanyang Heights / Beside Hall 9
68,outside Hall 10 & 11,1.35449,103.686773,27199,t,Hall 10 & 11
69,opp PUB Sub station,1.35646,103.689087,27189,t,PUB Sub station
70,after Lorong Danau,1.356065,103.692018,27179,t,Lorong Danau
71,before Jalan Bahar,1.356866,103.694299,27169,t,Jalan Bahar
72,Opposite Nanyang Avenue,1.357326,103.695628,27129,t,Nanyang Avenue
73,opp Westville,1.353165,103.700864,27109,t,Westville
74,opp SCDF Jalan Bahar Camp,1.350211,103.703609,27099,t,SCDF Jalan Bahar Camp
75,at Blk 263,1.345238,103.706496,21379,t,Blk 263
76,at Blk 691A Multi Storey Car Park,1.342487,103.705433,22481,t,Blk 691A Multi Storey Car Park
77,at Boon Lay Station,1.3385559,103.7058277,EW27,t,Boon Lay Station
78,at Pioneer Station,1.3373141,103.6968636,EW28,t,Pioneer Station
79,at Hall 12,1.35066,103.68041,2GT1,t,Hall 12 (2GT1)
80,at Hall 13,1.352008,103.681624,2GT2,t,Hall 13 (2GT2)
81,at Hall 14,1.352792,103.682587,2GT3,t,Hall 14 (2GT3)
82,Pod@NTU Research Tecno Plaza,1.343132,103.679227,DST-SG637553-01,t,Pod@NTU Research Tecno Plaza
83,Pod@NTU LWN Library,1.348093,103.68086,DST-SG637331-01,t,Pod@NTU LWN Library
84,Pod@NTU Hall 12,1.350876,103.680556,DST-SG637658-01,t,Pod@NTU Hall 12
85,Pod@NTU North-Hill Residence,1.354575,103.687494,DST-SG636958-01,t,Pod@NTU North-Hill Residence
86,Pod@NTU SRC,1.348969,103.687948,DST-SG639798-01,t,Pod@NTU SRC
87,Pod@NTU Canteen 2,1.34878,103.68554,DST-SG639548-01,t,Pod@NTU Canteen 2
88,Pod@NTU HSS,1.343545,103.683331,DST-SG637332-01,t,Pod@NTU HSS
89,Pod@Hall 8,1.351306,103.685664,DST-SG639812-01,t,Pod@Hall 8
90,Pod@CleanTech One,1.355038,103.692553,DST-SG637141-01,t,Pod@CleanTech One
91,Pod@CleanTech Two,1.355018,103.693208,DST-SG637143-01,t,Pod@CleanTech Two
92,0-N Room (EMRCL),1.345716808,103.6806338,,f,0-N Room (EMRCL)
93,1st Year Teaching Laboratory (PAP),1.341656633,103.6822629,,f,1st Year Teaching Laboratory (PAP)
94,2D Laboratory (ADM),1.349612256,103.6839264,,f,2D Laboratory (ADM)
95,2nd Year Teaching Laboratory (PAP),1.341656633,103.6822629,,f,2nd Year Teaching Laboratory (PAP)
96,3D Laboratory 1 (ADM),1.349546438,103.6838237,,f,3D Laboratory 1 (ADM)
97,3D Laboratory 2 (ADM),1.349546438,103.6838237,,f,3D Laboratory 2 (ADM)
98,3D Projection Laboratory (ADM),1.349546438,103.6838237,,f,3D Projection Laboratory (ADM)
99,3rd Year Teaching Laboratory (PAP),1.341656633,103.6822629,,f,3rd Year Teaching Laboratory (PAP)
100,AAS (NMR / Central Instrument Lab),1.342234716,103.6817584,,f,AAS (NMR / Central Instrument Lab)
101,Absorption Testing Room (Thermal & Fluids Lab),1.347049259,103.6828082,,f,Absorption Testing Room (Thermal & Fluids Lab)
102,Acad Office (WKWCSI 02),1.342143259,103.6801698,,f,Acad Office (WKWCSI 02)
103,Acad Office (WKWSCI 04),1.342143259,103.6801698,,f,Acad Office (WKWSCI 04)
104,Acad Room / Work Room (EOS),1.346531289,103.6792039,,f,Acad Room / Work Room (EOS)
105,Acad Room (SCI HQ),1.342143259,103.6801698,,f,Acad Room (SCI HQ)
106,Acad Room 2.1 (ADM),1.349546438,103.6838237,,f,Acad Room 2.1 (ADM)
107,Acad Room 2.2 (ADM),1.349546438,103.6838237,,f,Acad Room 2.2 (ADM)
108,Acad Room 2.3 (ADM),1.349546438,103.6838237,,f,Acad Room 2.3 (ADM)
109,Acad Room 2.4 (ADM),1.349546438,103.6838237,,f,Acad Room 2.4 (ADM)
110,Acad Room 2.5 (ADM),1.349546438,103.6838237,,f,Acad Room 2.5 (ADM)
111,Acad Room 2.6 (ADM),1.349546438,103.6838237,,f,Acad Room 2.6 (ADM)
112,Acad Room 2.7 (ADM),1.349546438,103.6838237,,f,Acad Room 2.7 (ADM)
113,Acad Room 2.8 (ADM),1.349546438,103.6838237,,f,Acad Room 2.8 (ADM)
114,Acad Room 3.1 (ADM),1.349546438,103.6838237,,f,Acad Room 3.1 (ADM)
115,Acad Room 3.10 (ADM),1.349546438,103.6838237,,f,Acad Room 3.10 (ADM)
116,Acad Room 3.11 (ADM),1.349546438,103.6838237,,f,Acad Room 3.11 (ADM)
117,Acad Room 3.12 (ADM),1.349546438,103.6838237,,f,Acad Room 3.12 (ADM)
118,Acad Room 3.2 (ADM),1.349546438,103.6838237,,f,Acad Room 3.2 (ADM)
119,Acad Room 3.3 (ADM),1.349546438,103.6838237,,f,Acad Room 3.3 (ADM)
120,Acad Room 3.4 (ADM),1.349546438,103.6838237,,f,Acad Room 3.4 (ADM)
121,Acad Room 3.5 (ADM),1.349546438,103.6838237,,f,Acad Room 3.5 (ADM)
122,Acad Room 3.6 (ADM),1.349546438,103.6838237,,f,Acad Room 3.6 (ADM)
123,Acad Room 3.7 (ADM),1.349546438,103.6838237,,f,Acad Room 3.7 (ADM)
124,Acad Room 3.8 (ADM),1.349546438,103.6838237,,f,Acad Room 3.8 (ADM)
125,Acad Room 3.9 (ADM),1.349546438,103.6838237,,f,Acad Room 3.9 (ADM)
126,Acad Room 4.1 (ADM),1.349546438,103.6838237,,f,Acad Room 4.1 (ADM)
127,Acad Room 4.10 (ADM),1.349546438,103.6838237,,f,Acad Room 4.10 (ADM)
128,Acad Room 4.11 (ADM),1.349546438,103.6838237,,f,Acad Room 4.11 (ADM)
129,Acad Room 4.12 (ADM),1.349546438,103.6838237,,f,Acad Room 4.12 (ADM)
130,Acad Room 4.13 (ADM),1.349546438,103.6838237,,f,Acad Room 4.13 (ADM)
131,Acad Room 4.14 (ADM),1.349546438,103.6838237,,f,Acad Room 4.14 (ADM)
132,Acad Room 4.15 (ADM),1.349546438,103.6838237,,f,Acad Room 4.15 (ADM)
133,Acad Room 4.16 (ADM),1.349546438,103.6838237,,f,Acad Room 4.16 (ADM)
134,Acad Room 4.17 (ADM),1.349546438,103.6838237,,f,Acad Room 4.17 (ADM)
135,Acad Room 4.18 (ADM),1.349546438,103.6838237,,f,Acad Room 4.18 (ADM)
136,Acad Room 4.19 (ADM),1.349546438,103.6838237,,f,Acad Room 4.19 (ADM)
137,Acad Room 4.2 (ADM),1.349546438,103.6838237,,f,Acad Room 4.2 (ADM)
138,Acad Room 4.20 (ADM),1.349546438,103.6838237,,f,Acad Room 4.20 (ADM)
139,Acad Room 4.21 (ADM),1.349546438,103.6838237,,f,Acad Room 4.21 (ADM)
140,Acad Room 4.22 (ADM),1.349546438,103.6838237,,f,Acad Room 4.22 (ADM)
141,Acad Room 4.23 (ADM),1.349546438,103.6838237,,f,Acad Room 4.23 (ADM)
142,Acad Room 4.24 (ADM),1.349546438,103.6838237,,f,Acad Room 4.24 (ADM)
143,Acad Room 4.25 (ADM),1.349546438,103.6838237,,f,Acad Room 4.25 (ADM)
144,Acad Room 4.26 (ADM),1.349546438,103.6838237,,f,Acad Room 4.26 (ADM)
145,Acad Room 4.27 (ADM),1.349546438,103.6838237,,f,Acad Room 4.27 (ADM)
146,Acad Room 4.28 (ADM),1.349546438,103.6838237,,f,Acad Room 4.28 (ADM)
147,Acad Room 4.29 (ADM),1.349546438,103.6838237,,f,Acad Room 4.29 (ADM)
148,Acad Room 4.3 (ADM),1.349546438,103.6838237,,f,Acad Room 4.3 (ADM)
149,Acad Room 4.30 (ADM),1.349546438,103.6838237,,f,Acad Room 4.30 (ADM)
150,Acad Room 4.31 (ADM),1.349546438,103.6838237,,f,Acad Room 4.31 (ADM)
151,Acad Room 4.32 (ADM),1.349546438,103.6838237,,f,Acad Room 4.32 (ADM)
152,Acad Room 4.33 (ADM),1.349546438,103.6838237,,f,Acad Room 4.33 (ADM)
153,Acad Room 4.34 (ADM),1.349546438,103.6838237,,f,Acad Room 4.34 (ADM)
154,Acad Room 4.4 (ADM),1.349546438,103.6838237,,f,Acad Room 4.4 (ADM)
155,Acad Room 4.5 (ADM),1.349546438,103.6838237,,f,Acad Room 4.5 (ADM)
156,Acad Room 4.6 (ADM),1.349546438,103.6838237,,f,Acad Room 4.6 (ADM)
157,Acad Room 4.7 (ADM),1.349546438,103.6838237,,f,Acad Room 4.7 (ADM)
158,Acad Room 4.8 (ADM),1.349546438,103.6838237,,f,Acad Room 4.8 (ADM)
159,Acad Room 4.9 (ADM),1.349546438,103.6838237,,f,Acad Room 4.9 (ADM)
160,Acad Room B1.1 (ADM),1.349546438,103.6838237,,f,Acad Room B1.1 (ADM)
161,Acad Room B1.2 (ADM),1.349546438,103.6838237,,f,Acad Room B1.2 (ADM)
162,Acad Room B1.3 (ADM),1.349546438,103.6838237,,f,Acad Room B1.3 (ADM)
163,Acad Room B1.4 (ADM),1.349546438,103.6838237,,f,Acad Room B1.4 (ADM)
164,Acad Room B1.5 (ADM),1.349546438,103.6838237,,f,Acad Room B1.5 (ADM)
165,Acad Room B1.6 (ADM),1.349546438,103.6838237,,f,Acad Room B1.6 (ADM)
166,Academic Block North,1.346619104,103.6822296,,f,Academic Block North
167,Academic Learning Commons 1,1.346555506,103.6804353,,f,Academic Learning Commons 1
168,Academic Learning Commons 2,1.346560062,103.680572,,f,Academic Learning Commons 2
169,Academic Services Room (SCSE),1.346178189,103.6823365,,f,Academic Services Room (SCSE)
170,Ace Linking Pte Ltd (ITTO),1.341087626,103.6832693,,f,Ace Linking Pte Ltd (ITTO)
171,Access Grid Conference Room,1.34619402,103.6829487,,f,Access Grid Conference Room
172,Acid Room (EMRCL),1.345718115,103.6805789,,f,Acid Room (EMRCL)
173,Acoustical Technologies Pte Ltd (ITTO),1.341087626,103.6832693,,f,Acoustical Technologies Pte Ltd (ITTO)
174,Activity Room 1 (NYH),1.349968259,103.6868935,,f,Activity Room 1 (NYH)
175,Activity Room 2 (NYH),1.349968259,103.6868935,,f,Activity Room 2 (NYH)
176,Activity Room 3 (NYH),1.349968259,103.6868935,,f,Activity Room 3 (NYH)
177,Activity Room 4 (NYH),1.349968259,103.6868935,,f,Activity Room 4 (NYH)
178,Activity Room 5 (NYH),1.349968259,103.6868935,,f,Activity Room 5 (NYH)
179,Activity Room 6 (NYH),1.349968259,103.6868935,,f,Activity Room 6 (NYH)
180,Activity Room 7 (NYH),1.349968259,103.6868935,,f,Activity Room 7 (NYH)
181,Activity Room 8 (NYH),1.349968259,103.6868935,,f,Activity Room 8 (NYH)
182,ACTS Project (CAIS),1.34619402,103.6829487,,f,ACTS Project (CAIS)
183,ADM Student Club,1.349546438,103.6838237,,f,ADM Student Club
184,Advanced Design and Modeling Laboratory 1,1.347055797,103.682909,,f,Advanced Design and Modeling Laboratory 1
185,Advanced Design And Modeling Laboratory 2,1.347055797,103.682909,,f,Advanced Design And Modeling Laboratory 2
186,Advanced Electroacoustics Pte Ltd (ITTO),1.341087626,103.6832693,,f,Advanced Electroacoustics Pte Ltd (ITTO)
187,Advanced Remanufacturing Technology Centre (ARTC),1.34706795,103.6831446,,f,Advanced Remanufacturing Technology Centre (ARTC)
188,Advanced RFIC @ NTU,1.342931569,103.6803646,,f,Advanced RFIC @ NTU
189,Advanced Satellite & Space Exploration Laboratory,1.347550904,103.6824493,,f,Advanced Satellite & Space Exploration Laboratory
190,Advanced Video Editing Suite (WKWSCI),1.342143259,103.6801698,,f,Advanced Video Editing Suite (WKWSCI)
191,Aerodynamics Laboratory,1.347571219,103.6824459,,f,Aerodynamics Laboratory
192,Aerospace Centre of Excellence,1.347550904,103.6824493,,f,Aerospace Centre of Excellence
193,Aerospace Electronics Laboratory (EEE),1.343403748,103.6807964,,f,Aerospace Electronics Laboratory (EEE)
194,Aerospace Fluid Power Laboratory,1.347550904,103.6824493,,f,Aerospace Fluid Power Laboratory
195,Aerospace Structures Laboratory,1.347550904,103.6824493,,f,Aerospace Structures Laboratory
196,AFM,1.345316444,103.6793572,,f,AFM
197,AFM Room (Organic Materials Service Lab),1.346621453,103.6829539,,f,AFM Room (Organic Materials Service Lab)
198,AHU - BioE B2,1.345270792,103.6803833,,f,AHU - BioE B2
199,AHU - BioE B3,1.345270792,103.6803833,,f,AHU - BioE B3
200,AHU - BioE B4,1.345270792,103.6803833,,f,AHU - BioE B4
201,AHU - BioE B4M,1.345270792,103.6803833,,f,AHU - BioE B4M
202,AHU - CBE 01,1.345316444,103.6793572,,f,AHU - CBE 01
203,AHU - CBE B1,1.345316444,103.6793572,,f,AHU - CBE B1
204,AHU - CBE B2,1.345316444,103.6793572,,f,AHU - CBE B2
205,AHU - CBE B3,1.345316444,103.6793572,,f,AHU - CBE B3
206,AHU - CBE B4,1.345316444,103.6793572,,f,AHU - CBE B4
207,AHU - CBE B5,1.345316444,103.6793572,,f,AHU - CBE B5
208,AHU - CoE,1.345270792,103.6803833,,f,AHU - CoE
209,AHU Room (SBS 01),1.344876157,103.6793605,,f,AHU Room (SBS 01)
210,AHU Room (SBS B1),1.344876157,103.6793605,,f,AHU Room (SBS B1)
