"gender","avg_exam_score","height","weight","class","annual_income","dominant_hand","stream","character"
"Male",71.8237876241913,1.86825499479625,65.5000934227531,"B2",55098.6468234483,"Right","Science","Steadfast"
"Male",62.3754473114559,1.66160732287571,70.4175734300526,"B2",59972.9718916942,"Right","Arts","Dominant"
"Female",63.9239185772953,1.56841865153776,68.0700985251568,"B2",60389.4766669976,"Right","Arts","Dominant"
"Male",71.1306178812773,1.6015281099176,75.8418863620039,"B1",67258.7912979066,"Right","Arts","Dominant"
"Female",62.2790843857647,1.62907424877939,64.7040217296332,"B2",53755.0179096188,"Left","Science","Inspirational"
"Female",69.9101321692777,1.70866797587718,72.1752073318168,"A1",60658.9941427694,"Right","Science","Dominant"
"Female",60.9060053657275,1.64446076985028,69.6950461604004,"A2",73850.3234311143,"Right","Science","Inspirational"
"Female",65.1366864962278,1.63770128346297,69.7180814789107,"A2",62901.7517450849,"Right","Science","Steadfast"
"Male",73.7344194172443,1.63301919294291,67.0861116644804,"A1",68269.1520816973,"Right","Arts","Dominant"
"Male",66.4244439657512,1.59206322441734,67.1634693290902,"A2",38351.4035105473,"Left","Science","Conscientious"
"Female",63.6135766189521,1.42519486343122,65.6611454819434,"B2",59667.2871972678,"Right","Science","Dominant"
"Male",67.9456002436117,1.63015697919558,67.165866813332,"B2",48900.7798082978,"Right","Science","Dominant"
"Female",58.609835562956,1.58992082157538,66.3239418649152,"B1",70025.3546227808,"Left","Arts","Inspirational"
"Female",68.0054402677251,1.76233774995275,64.6697768267289,"B1",49516.3562362904,"Right","Arts","Dominant"
"Female",64.1450517476192,1.7893710449958,77.9945481428181,"B2",35358.7780130139,"Left","Arts","Conscientious"
"Male",72.3231909794424,1.78555509716213,72.0151509069833,"A2",40229.2803318532,"Left","Science","Inspirational"
"Female",65.971484964368,1.86759201506255,69.2925942296992,"A2",48527.8116900547,"Left","Science","Inspirational"
"Male",63.252117442761,1.53529765091831,67.3306870493696,"A2",53986.6183593539,"Left","Arts","Dominant"
"Female",63.8529230803286,1.50441679997577,74.549192327331,"B1",56678.2034847199,"Right","Arts","Inspirational"
"Male",59.2528238841329,1.47696816321571,71.0791120166772,"B2",61063.2676242139,"Left","Science","Inspirational"
"Female",64.509145398961,1.67064272971135,69.7196064609384,"B2",53549.0453725366,"Left","Science","Dominant"
"Male",61.765476376268,1.75285230975676,77.2888084515417,"B1",45596.7221166999,"Right","Science","Conscientious"
"Female",63.9659847860255,1.58518317823461,71.5393913228608,"B2",62953.6227210904,"Right","Science","Steadfast"
"Male",62.1331533126393,1.44598562562986,70.1160644098168,"A2",42808.2208824613,"Right","Science","Dominant"
"Female",63.5611512651898,1.72430437272037,67.197182804096,"B1",37839.9207986005,"Left","Science","Inspirational"
"Female",67.808032237116,1.74784169457607,76.2510128583972,"B1",40921.628167602,"Right","Science","Steadfast"
"Female",68.0866942026463,1.54886834690618,61.6693271327679,"A1",49318.8746376817,"Left","Arts","Inspirational"
"Female",65.2595426127824,1.71404483774594,72.232105991663,"A1",54036.6390311387,"Left","Arts","Dominant"
"Female",72.952022085394,1.91092321195611,71.2782018822762,"A2",39170.7883572202,"Left","Science","Conscientious"
"Female",65.6497960353774,1.66103297391747,64.3462912471864,"B1",49647.9903375851,"Left","Arts","Dominant"
"Male",68.7357256963216,1.45706939185761,60.2382070846338,"B2",35447.1526483525,"Right","Arts","Steadfast"
"Female",68.337090313454,1.67901739075732,61.1221784971999,"A2",41929.6925080519,"Right","Science","Inspirational"
"Female",62.1781782762214,1.77740214362588,70.4590427517441,"A1",58563.7800831027,"Left","Science","Dominant"
"Female",58.4348348916986,1.71307692227225,73.4827651030214,"A1",47929.8638721768,"Left","Science","Steadfast"
"Male",59.5652295112634,1.52709405526916,74.3476925416118,"B2",56177.7677592155,"Right","Arts","Inspirational"
"Male",69.1180825038664,1.68492340677095,70.3755554304059,"A1",55096.8860203146,"Right","Science","Steadfast"
"Male",66.3185927559962,1.70880043689761,69.7625616073642,"A1",46109.5691635892,"Right","Arts","Inspirational"
"Female",64.3400323769491,1.50610716611389,69.1152446456704,"A1",44222.6123982602,"Right","Science","Conscientious"
"Female",63.9031469937457,1.73645085128846,69.725467647435,"B2",63807.3061252499,"Right","Science","Dominant"
"Female",58.3765500973767,1.68607343777772,71.8979163257761,"A1",43282.0850978684,"Right","Arts","Conscientious"
"Female",58.0647849980253,1.59025447901443,73.3421172062635,"B1",55044.0078476301,"Right","Science","Dominant"
"Female",72.5000840581307,1.72163496867023,80.0167264247535,"A2",22039.0032262466,"Right","Science","Inspirational"
"Female",72.8409879651883,1.70066718782749,75.4554541305075,"A2",71570.9232640225,"Right","Science","Steadfast"
"Male",58.7898053147595,1.60595884210683,76.2590983250112,"A1",45905.5849595363,"Left","Science","Steadfast"
"Male",64.6104355687699,1.62076249576621,77.937720624587,"B1",45716.228119163,"Left","Arts","Steadfast"
"Male",67.520496636676,1.59943704941775,75.6125089670931,"B2",57182.1013096928,"Right","Arts","Steadfast"
"Female",60.6996442180752,1.67534326489833,73.5369196727019,"B1",59797.1832232727,"Right","Arts","Inspirational"
"Male",71.6398139212561,1.6610986668606,70.0350989024714,"B2",56467.3038672763,"Left","Science","Dominant"
"Female",70.02849315345,1.47679957739253,64.1065545626549,"B2",59603.087038803,"Left","Arts","Inspirational"
"Male",63.04828212781,1.70184937469314,71.7696528430319,"A1",38582.717282003,"Right","Arts","Dominant"
"Male",55.8322752818652,1.57142011143014,73.9029307693853,"A1",78492.8508506525,"Right","Science","Steadfast"
"Female",62.6267576165853,1.59710560669158,65.0585170394018,"A2",38470.6590613876,"Right","Arts","Inspirational"
"Female",63.9636849742383,1.54970082211782,62.0355668645641,"B1",58787.1400129997,"Right","Arts","Steadfast"
"Female",60.7951553769269,1.76903394794397,64.9450399155281,"A1",61200.3914741463,"Right","Arts","Steadfast"
"Female",65.0924696507398,1.73902513105842,70.7517811197307,"B1",46218.8415528286,"Right","Science","Conscientious"
"Female",62.2412986850103,1.58561914517614,71.5280670287348,"B2",60979.8309547024,"Left","Science","Conscientious"
"Female",63.5997982147139,1.53237686518065,68.1870356409526,"A2",48160.6457904637,"Left","Science","Dominant"
"Male",65.4370440767275,1.51440047252535,73.3055763750733,"A2",71133.3957898771,"Right","Science","Steadfast"
"Male",68.6647391010203,1.79712354522917,65.449672159946,"B2",58296.2235465056,"Right","Arts","Dominant"
"Female",61.4860017221284,1.77402642699209,73.3038728032178,"B1",60350.0392769628,"Left","Science","Dominant"
"Female",67.8616350960698,1.64632155675609,74.4130886572519,"A1",52960.3318311949,"Left","Science","Steadfast"
"Female",69.8995711048466,1.7817122989534,64.0587386343663,"A2",51256.2706965474,"Left","Arts","Steadfast"
"Male",62.2049612850255,1.50144842741312,61.7929768852615,"A2",65998.5039402643,"Left","Science","Dominant"
