VOBC, Acc0, Acc1, Date
2,0.03,0.006,20180529
10,0.006,0.006,20180529
11, nan, nan,20180529
13, nan, nan,20180529
14, nan, nan,20180529
18, nan, nan,20180529
19,0.067,0.055,20180529
20,-0.042,,20180529
22,0.055,,20180529
23,0.055,0.067,20180529
24,0.018,,20180529
25, nan, nan,20180529
26, nan, nan,20180529
27,0.006,0.03,20180529
28,0.018,0.067,20180529
100,0.043,,20180529
101, nan, nan,20180529
102, nan, nan,20180529
105, nan, nan,20180529
106, nan, nan,20180529
110,0.067,0.055,20180529
111,0.018,0.006,20180529
112,0.03,0.079,20180529
113,0.006,,20180529
114,0.03,0.067,20180529
115,0.055,0.067,20180529
116,0.055,,20180529
117,0.092,0.006,20180529
118,0.055,0.03,20180529
119, nan, nan,20180529
120, nan, nan,20180529
121, nan, nan,20180529
122, nan, nan,20180529
123,0.018,,20180529
124,-0.006,0.006,20180529
125,0.018,0.006,20180529
126,0.018,0.079,20180529
127, nan, nan,20180529
128, nan, nan,20180529
129,-0.006,0.03,20180529
130,0.018,0.006,20180529
131,-0.006,0.055,20180529
132,0.006,0.006,20180529
133, nan, nan,20180529
134, nan, nan,20180529
135,-0.055,0.03,20180529
136,-0.055,0.067,20180529
137,0.043,,20180529
138,-0.006,-0.006,20180529
139,-0.03,0.055,20180529
140,0.043,0.006,20180529
141, nan, nan,20180529
142, nan, nan,20180529
143,0.018,,20180529
144,-0.042,0.03,20180529
145,0.03,-0.03,20180529
146,0.006,0.079,20180529
147, nan, nan,20180529
148, nan, nan,20180529
151,0.018,,20180529
152,0.03,0.055,20180529
153, nan, nan,20180529
154, nan, nan,20180529
155,0.03,,20180529
162,-0.018,0.055,20180529
163,-0.018,,20180529
164,-0.006,-0.006,20180529
171,0.006,,20180529
172,0.018,0.055,20180529
173, nan, nan,20180529
174, nan, nan,20180529
175, nan, nan,20180529
176, nan, nan,20180529
177,0.006,,20180529
178,0.006,,20180529
179,-0.006,0.03,20180529
180,0.018,-0.006,20180529
181,-0.079,0.079,20180529
182,-0.042,,20180529
183, nan, nan,20180529
184, nan, nan,20180529
185,0.043,,20180529
186,-0.012,,20180529
187,-0.018,0.03,20180529
188,0.055,0.006,20180529
191, nan, nan,20180529
192, nan, nan,20180529
193, nan, nan,20180529
194, nan, nan,20180529
195,0.018,0.055,20180529
196,0.03,0.006,20180529
197,0.006,-0.006,20180529
199,0.03,0.03,20180529
200,0.03,0.079,20180529
201, nan, nan,20180529
202, nan, nan,20180529
205, nan, nan,20180529
206, nan, nan,20180529
211,-0.018,0.03,20180529
212,0.018,0.128,20180529
213, nan, nan,20180529
214, nan, nan,20180529
215,0.018,0.055,20180529
216,-0.006,0.067,20180529
219,0.018,0.055,20180529
220,0.043,,20180529
222,0.03,,20180529
223,0.079,0.055,20180529
224,0.043,0.067,20180529
225,-0.018,,20180529
226,0.03,0.03,20180529
227, nan, nan,20180529
228, nan, nan,20180529
229,-0.018,-0.042,20180529
230,0.043,0.055,20180529
231,0.03,,20180529
232,0.03,0.006,20180529
233,0.018,0.092,20180529
234,0.018,,20180529
237,0.018,0.055,20180529
241,0.018,0.006,20180529
244,0.03,,20180529
245,-0.03,0.03,20180529
246,-0.006,0.03,20180529
249,-0.018,0.092,20180529
250,0.006,0.006,20180529
252,0.067,0.055,20180529
253,0.079,0.03,20180529
254,0.043,,20180529
255, nan, nan,20180529
256, nan, nan,20180529
257,0.067,,20180529
258,0.03,0.079,20180529
261, nan, nan,20180529
262, nan, nan,20180529
263,0.006,,20180529
264,-0.018,0.03,20180529
265,0.03,0.055,20180529
266,0.03,,20180529
267,0.018,0.079,20180529
268,0.018,0.092,20180529
269,0.018,,20180529
270,0.079,0.067,20180529
271,0.043,0.092,20180529
272,0.018,0.055,20180529
273,0.055,,20180529
274,0.006,0.006,20180529
275,-0.018,0.079,20180529
276,0.03,0.079,20180529
281,0.03,0.03,20180529
282,0.006,,20180529
2,0.0,0.006,20180530
10,0.0,0.008,20180530
11,0.009000000000000001,0.002,20180530
13,0.0,0.006,20180530
14,0.006,0.009000000000000001,20180530
18,0.006999999999999999,0.006999999999999999,20180530
19,0.006,0.003,20180530
20,0.006,0.002,20180530
22,0.003,0.003,20180530
23,0.002,0.005,20180530
24,0.001,0.003,20180530
25,0.005,0.006999999999999999,20180530
26,0.008,0.0,20180530
27,0.006999999999999999,0.004,20180530
28,0.002,0.009000000000000001,20180530
100,0.004,0.006999999999999999,20180530
101,0.005,0.006999999999999999,20180530
102,0.003,0.001,20180530
105,0.004,0.005,20180530
106,0.006,0.006,20180530
110,0.004,0.006,20180530
111,0.009000000000000001,0.006,20180530
112,0.003,0.008,20180530
113,0.004,0.004,20180530
114,0.003,0.009000000000000001,20180530
115,0.006,0.004,20180530
116,0.003,0.009000000000000001,20180530
117,0.009000000000000001,0.001,20180530
118,0.006999999999999999,0.001,20180530
119,0.0,0.002,20180530
120,0.009000000000000001,0.005,20180530
121,0.005,0.006,20180530
122,0.005,0.009000000000000001,20180530
123,0.002,0.002,20180530
124,0.006999999999999999,0.004,20180530
125,0.005,0.002,20180530
126,0.005,0.009000000000000001,20180530
127,0.003,0.0,20180530
128,0.0,0.009000000000000001,20180530
129,0.003,0.0,20180530
130,0.001,0.008,20180530
131,0.001,0.0,20180530
132,0.003,0.009000000000000001,20180530
133,0.008,0.006,20180530
134,0.005,0.006999999999999999,20180530
135,0.008,0.006,20180530
136,0.003,0.009000000000000001,20180530
137,0.006,0.006,20180530
138,0.005,0.006,20180530
139,0.009000000000000001,0.006,20180530
140,0.002,0.0,20180530
141,0.004,0.001,20180530
142,0.003,0.003,20180530
143,0.003,0.006,20180530
144,0.004,0.002,20180530
145,0.006999999999999999,0.006999999999999999,20180530
146,0.006,0.001,20180530
147,0.009000000000000001,0.002,20180530
148,0.003,0.006999999999999999,20180530
151,0.006,0.006,20180530
152,0.009000000000000001,0.006999999999999999,20180530
153,0.004,0.008,20180530
154,0.009000000000000001,0.006999999999999999,20180530
155,0.002,0.005,20180530
162,0.008,0.009000000000000001,20180530
163,0.006999999999999999,0.004,20180530
164,0.008,0.004,20180530
171,0.002,0.001,20180530
172,0.003,0.009000000000000001,20180530
173,0.0,0.003,20180530
174,0.009000000000000001,0.008,20180530
175,0.006,0.009000000000000001,20180530
176,0.003,0.001,20180530
177,0.005,0.003,20180530
178,0.002,0.0,20180530
179,0.006,0.0,20180530
180,0.006999999999999999,0.008,20180530
181,0.006999999999999999,0.009000000000000001,20180530
182,0.009000000000000001,0.008,20180530
183,0.002,0.0,20180530
184,0.004,0.004,20180530
185,0.008,0.008,20180530
186,0.0,0.009000000000000001,20180530
187,0.002,0.0,20180530
188,0.003,0.004,20180530
191,0.004,0.004,20180530
192,0.002,0.008,20180530
193,0.006999999999999999,0.004,20180530
194,0.006999999999999999,0.009000000000000001,20180530
195,0.004,0.004,20180530
196,0.003,0.004,20180530
197,0.002,0.008,20180530
199,0.002,0.002,20180530
200,0.004,0.006999999999999999,20180530
201,0.005,0.004,20180530
202,0.003,0.006999999999999999,20180530
205,0.005,0.003,20180530
206,0.008,0.004,20180530
211,0.008,0.006,20180530
212,0.004,0.001,20180530
213,0.002,0.002,20180530
214,0.001,0.008,20180530
215,0.008,0.005,20180530
216,0.008,0.009000000000000001,20180530
219,0.002,0.004,20180530
220,0.005,0.004,20180530
222,0.009000000000000001,0.005,20180530
223,0.005,0.004,20180530
224,0.003,0.004,20180530
225,0.002,0.004,20180530
226,0.005,0.009000000000000001,20180530
227,0.004,0.005,20180530
228,0.009000000000000001,0.009000000000000001,20180530
229,0.006,0.008,20180530
230,0.004,0.0,20180530
231,0.0,0.006999999999999999,20180530
232,0.008,0.006,20180530
233,0.001,0.005,20180530
234,0.005,0.002,20180530
237,0.004,0.002,20180530
241,0.009000000000000001,0.004,20180530
244,0.0,0.0,20180530
245,0.003,0.005,20180530
246,0.008,0.008,20180530
249,0.009000000000000001,0.006,20180530
250,0.008,0.006,20180530
252,0.008,0.002,20180530
253,0.005,0.006999999999999999,20180530
254,0.009000000000000001,0.0,20180530
255,0.004,0.006999999999999999,20180530
256,0.002,0.009000000000000001,20180530
257,0.009000000000000001,0.008,20180530
258,0.001,0.008,20180530
261,0.002,0.006999999999999999,20180530
262,0.005,0.003,20180530
263,0.002,0.003,20180530
264,0.001,0.006999999999999999,20180530
265,0.009000000000000001,0.005,20180530
266,0.0,0.005,20180530
267,0.0,0.006,20180530
268,0.006999999999999999,0.0,20180530
269,0.0,0.006999999999999999,20180530
270,0.008,0.003,20180530
271,0.001,0.008,20180530
272,0.001,0.006999999999999999,20180530
273,0.002,0.0,20180530
274,0.003,0.006,20180530
275,0.006,0.006,20180530
276,0.009000000000000001,0.001,20180530
281,0.0,0.005,20180530
282,0.0,0.0,20180530
2,0.002,0.001,20180531
10,0.004,0.002,20180531
11,0.0,0.006999999999999999,20180531
13,0.0,0.01,20180531
14,0.003,0.009000000000000001,20180531
18,0.001,0.001,20180531
19,0.005,0.004,20180531
20,0.008,0.009000000000000001,20180531
22,0.005,0.006,20180531
23,0.006,0.009000000000000001,20180531
24,0.011000000000000001,0.004,20180531
25,0.008,0.004,20180531
26,0.002,0.005,20180531
27,0.009000000000000001,0.009000000000000001,20180531
28,0.008,0.0,20180531
100,0.005,0.008,20180531
101,0.001,0.008,20180531
102,0.01,0.004,20180531
105,0.001,0.011000000000000001,20180531
106,0.011000000000000001,0.002,20180531
110,0.004,0.0,20180531
111,0.009000000000000001,0.002,20180531
112,0.003,0.006999999999999999,20180531
113,0.008,0.005,20180531
114,0.006999999999999999,0.004,20180531
115,0.006999999999999999,0.01,20180531
116,0.008,0.006999999999999999,20180531
117,0.004,0.0,20180531
118,0.011000000000000001,0.003,20180531
119,0.001,0.01,20180531
120,0.0,0.001,20180531
121,0.006,0.011000000000000001,20180531
122,0.0,0.004,20180531
123,0.002,0.01,20180531
124,0.011000000000000001,0.005,20180531
125,0.006,0.006999999999999999,20180531
126,0.01,0.009000000000000001,20180531
127,0.002,0.001,20180531
128,0.001,0.003,20180531
129,0.002,0.01,20180531
130,0.001,0.0,20180531
131,0.004,0.01,20180531
132,0.001,0.001,20180531
133,0.011000000000000001,0.008,20180531
134,0.001,0.005,20180531
135,0.004,0.002,20180531
136,0.002,0.006,20180531
137,0.008,0.01,20180531
138,0.01,0.009000000000000001,20180531
139,0.004,0.0,20180531
140,0.006999999999999999,0.011000000000000001,20180531
141,0.002,0.0,20180531
142,0.004,0.009000000000000001,20180531
143,0.008,0.004,20180531
144,0.001,0.003,20180531
145,0.009000000000000001,0.004,20180531
146,0.011000000000000001,0.0,20180531
147,0.006,0.004,20180531
148,0.006999999999999999,0.003,20180531
151,0.001,0.01,20180531
152,0.005,0.001,20180531
153,0.003,0.011000000000000001,20180531
154,0.011000000000000001,0.001,20180531
155,0.005,0.008,20180531
162,0.011000000000000001,0.009000000000000001,20180531
163,0.008,0.004,20180531
164,0.01,0.005,20180531
171,0.006,0.004,20180531
172,0.008,0.003,20180531
173,0.011000000000000001,0.006,20180531
174,0.006,0.002,20180531
175,0.008,0.006,20180531
176,0.0,0.009000000000000001,20180531
177,0.004,0.006999999999999999,20180531
178,0.01,0.01,20180531
179,0.011000000000000001,0.003,20180531
180,0.002,0.009000000000000001,20180531
181,0.004,0.005,20180531
182,0.004,0.009000000000000001,20180531
183,0.009000000000000001,0.011000000000000001,20180531
184,0.008,0.006,20180531
185,0.002,0.002,20180531
186,0.005,0.008,20180531
187,0.01,0.006999999999999999,20180531
188,0.008,0.001,20180531
191,0.005,0.0,20180531
192,0.002,0.01,20180531
193,0.006999999999999999,0.009000000000000001,20180531
194,0.002,0.005,20180531
195,0.002,0.001,20180531
196,0.006999999999999999,0.0,20180531
197,0.001,0.004,20180531
199,0.011000000000000001,0.002,20180531
200,0.002,0.011000000000000001,20180531
201,0.008,0.003,20180531
202,0.003,0.005,20180531
205,0.011000000000000001,0.006,20180531
206,0.002,0.009000000000000001,20180531
211,0.004,0.006,20180531
212,0.008,0.006999999999999999,20180531
213,0.011000000000000001,0.009000000000000001,20180531
214,0.006,0.01,20180531
215,0.002,0.003,20180531
216,0.006999999999999999,0.01,20180531
219,0.009000000000000001,0.006999999999999999,20180531
220,0.006999999999999999,0.006999999999999999,20180531
222,0.009000000000000001,0.011000000000000001,20180531
223,0.01,0.01,20180531
224,0.01,0.003,20180531
225,0.004,0.009000000000000001,20180531
226,0.01,0.003,20180531
227,0.006,0.004,20180531
228,0.003,0.011000000000000001,20180531
229,0.006999999999999999,0.01,20180531
230,0.004,0.006999999999999999,20180531
231,0.003,0.009000000000000001,20180531
232,0.006,0.01,20180531
233,0.011000000000000001,0.003,20180531
234,0.0,0.002,20180531
237,0.011000000000000001,0.006,20180531
241,0.0,0.004,20180531
244,0.003,0.001,20180531
245,0.004,0.001,20180531
246,0.004,0.008,20180531
249,0.003,0.006999999999999999,20180531
250,0.008,0.004,20180531
252,0.002,0.0,20180531
253,0.006,0.01,20180531
254,0.008,0.009000000000000001,20180531
255,0.008,0.008,20180531
256,0.006999999999999999,0.011000000000000001,20180531
257,0.009000000000000001,0.011000000000000001,20180531
258,0.008,0.0,20180531
261,0.001,0.009000000000000001,20180531
262,0.008,0.0,20180531
263,0.006,0.004,20180531
264,0.005,0.005,20180531
265,0.001,0.002,20180531
266,0.006999999999999999,0.005,20180531
267,0.005,0.009000000000000001,20180531
268,0.0,0.006,20180531
269,0.011000000000000001,0.004,20180531
270,0.005,0.003,20180531
271,0.008,0.0,20180531
272,0.011000000000000001,0.011000000000000001,20180531
273,0.009000000000000001,0.011000000000000001,20180531
274,0.006,0.01,20180531
275,0.004,0.006999999999999999,20180531
276,0.006999999999999999,0.005,20180531
281,0.004,0.005,20180531
282,0.011000000000000001,0.004,20180531
2,0.012,0.011000000000000001,20180601
10,0.002,0.012,20180601
11,0.006999999999999999,0.01,20180601
13,0.003,0.005,20180601
14,0.001,0.003,20180601
18,0.001,0.0,20180601
19,0.004,0.0,20180601
20,0.0,0.008,20180601
22,0.01,0.006,20180601
23,0.001,0.003,20180601
24,0.001,0.003,20180601
25,0.0,0.008,20180601
26,0.004,0.0,20180601
27,0.008,0.005,20180601
28,0.005,0.012,20180601
100,0.008,0.01,20180601
101,0.006999999999999999,0.006,20180601
102,0.001,0.006,20180601
105,0.0,0.012,20180601
106,0.002,0.013000000000000001,20180601
110,0.009000000000000001,0.006,20180601
111,0.001,0.005,20180601
112,0.006,0.008,20180601
113,0.006,0.008,20180601
114,0.013000000000000001,0.008,20180601
115,0.006999999999999999,0.008,20180601
116,0.008,0.004,20180601
117,0.005,0.003,20180601
118,0.006,0.0,20180601
119,0.013000000000000001,0.005,20180601
120,0.011000000000000001,0.0,20180601
121,0.011000000000000001,0.001,20180601
122,0.008,0.012,20180601
123,0.004,0.006,20180601
124,0.008,0.01,20180601
125,0.001,0.001,20180601
126,0.004,0.013000000000000001,20180601
127,0.006999999999999999,0.012,20180601
128,0.011000000000000001,0.009000000000000001,20180601
129,0.009000000000000001,0.011000000000000001,20180601
130,0.001,0.008,20180601
131,0.003,0.011000000000000001,20180601
132,0.006999999999999999,0.001,20180601
133,0.013000000000000001,0.006,20180601
134,0.009000000000000001,0.008,20180601
135,0.003,0.008,20180601
136,0.003,0.006999999999999999,20180601
137,0.005,0.013000000000000001,20180601
138,0.005,0.004,20180601
139,0.01,0.004,20180601
140,0.002,0.0,20180601
141,0.012,0.008,20180601
142,0.005,0.013000000000000001,20180601
143,0.004,0.013000000000000001,20180601
144,0.001,0.009000000000000001,20180601
145,0.012,0.01,20180601
146,0.002,0.008,20180601
147,0.006,0.005,20180601
148,0.0,0.0,20180601
151,0.009000000000000001,0.0,20180601
152,0.002,0.01,20180601
153,0.008,0.008,20180601
154,0.0,0.013000000000000001,20180601
155,0.004,0.006999999999999999,20180601
162,0.01,0.013000000000000001,20180601
163,0.012,0.002,20180601
164,0.003,0.005,20180601
171,0.004,0.011000000000000001,20180601
172,0.013000000000000001,0.0,20180601
173,0.003,0.013000000000000001,20180601
174,0.004,0.006,20180601
175,0.005,0.01,20180601
176,0.005,0.0,20180601
177,0.009000000000000001,0.005,20180601
178,0.001,0.012,20180601
179,0.003,0.003,20180601
180,0.01,0.006999999999999999,20180601
181,0.0,0.004,20180601
182,0.005,0.006999999999999999,20180601
183,0.008,0.0,20180601
184,0.013000000000000001,0.011000000000000001,20180601
185,0.003,0.002,20180601
186,0.01,0.008,20180601
187,0.002,0.01,20180601
188,0.0,0.01,20180601
191,0.005,0.001,20180601
192,0.012,0.006,20180601
193,0.001,0.004,20180601
194,0.002,0.005,20180601
195,0.013000000000000001,0.013000000000000001,20180601
196,0.001,0.009000000000000001,20180601
197,0.002,0.009000000000000001,20180601
199,0.013000000000000001,0.001,20180601
200,0.006,0.004,20180601
201,0.0,0.013000000000000001,20180601
202,0.013000000000000001,0.002,20180601
205,0.004,0.005,20180601
206,0.008,0.002,20180601
211,0.004,0.004,20180601
212,0.011000000000000001,0.006999999999999999,20180601
213,0.002,0.006999999999999999,20180601
214,0.013000000000000001,0.004,20180601
215,0.002,0.006999999999999999,20180601
216,0.012,0.002,20180601
219,0.011000000000000001,0.008,20180601
220,0.01,0.011000000000000001,20180601
222,0.013000000000000001,0.011000000000000001,20180601
223,0.005,0.009000000000000001,20180601
224,0.001,0.012,20180601
225,0.0,0.006999999999999999,20180601
226,0.006999999999999999,0.006,20180601
227,0.002,0.0,20180601
228,0.009000000000000001,0.011000000000000001,20180601
229,0.001,0.006999999999999999,20180601
230,0.013000000000000001,0.003,20180601
231,0.001,0.009000000000000001,20180601
232,0.006,0.012,20180601
233,0.003,0.012,20180601
234,0.006999999999999999,0.012,20180601
237,0.013000000000000001,0.013000000000000001,20180601
241,0.012,0.001,20180601
244,0.009000000000000001,0.005,20180601
245,0.002,0.01,20180601
246,0.004,0.01,20180601
249,0.012,0.013000000000000001,20180601
250,0.006,0.01,20180601
252,0.008,0.0,20180601
253,0.01,0.013000000000000001,20180601
254,0.006,0.002,20180601
