VOBC, Acc0, Acc1, Date
2,0.03,0.011,20180611
10,0.001,0.013,20180611
11,0.022,0.015,20180611
13,0.031,0.025,20180611
14,0.015,0.029,20180611
18,0.001,0.0,20180611
19,0.007,0.032,20180611
20,0.009,0.026,20180611
22,0.026,0.001,20180611
23,0.025,0.003,20180611
24,0.02,0.0,20180611
25,0.008,0.005,20180611
26,0.005,0.012,20180611
27,0.008,0.004,20180611
28,0.025,0.013,20180611
100,0.013,0.024,20180611
101,0.001,0.005,20180611
102,0.0,0.024,20180611
105,0.014,0.028,20180611
106,0.027,0.028,20180611
110,0.003,0.01,20180611
111,0.009,0.03,20180611
112,0.002,0.004,20180611
113,0.019,0.027,20180611
114,0.011,0.003,20180611
115,0.017,0.004,20180611
116,0.007,0.007,20180611
117,0.003,0.03,20180611
118,0.024,0.025,20180611
119,0.001,0.015,20180611
120,0.022,0.001,20180611
121,0.026,0.031,20180611
122,0.005,0.0,20180611
123,0.024,0.018,20180611
124,0.027,0.013,20180611
125,0.024,0.002,20180611
126,0.017,0.022,20180611
127,0.032,0.014,20180611
128,0.002,0.033,20180611
129,0.008,0.014,20180611
130,0.018,0.008,20180611
131,0.02,0.028,20180611
132,0.015,0.012,20180611
133,0.006,0.002,20180611
134,0.022,0.031,20180611
135,0.009,0.003,20180611
136,0.01,0.002,20180611
137,0.03,0.003,20180611
138,0.026,0.019,20180611
139,0.026,0.011,20180611
140,0.016,0.033,20180611
141,0.02,0.023,20180611
142,0.02,0.002,20180611
143,0.028,0.017,20180611
144,0.015,0.0,20180611
145,0.033,0.006,20180611
146,0.009,0.024,20180611
147,0.003,0.004,20180611
148,0.014,0.019,20180611
151,0.02,0.026,20180611
152,0.007,0.009,20180611
153,0.012,0.008,20180611
154,0.024,0.001,20180611
155,0.004,0.023,20180611
162,0.032,0.022,20180611
163,0.003,0.006,20180611
164,0.015,0.026,20180611
171,0.008,0.03,20180611
172,0.028,0.012,20180611
173,0.0,0.024,20180611
174,0.001,0.009,20180611
175,0.009,0.013,20180611
176,0.008,0.029,20180611
177,0.019,0.032,20180611
178,0.022,0.02,20180611
179,0.031,0.006,20180611
180,0.025,0.0,20180611
181,0.011,0.017,20180611
182,0.01,0.005,20180611
183,0.032,0.012,20180611
184,0.018,0.013,20180611
185,0.012,0.002,20180611
186,0.013,0.003,20180611
187,0.008,0.014,20180611
188,0.019,0.026,20180611
191,0.029,0.021,20180611
192,0.021,0.032,20180611
193,0.004,0.021,20180611
194,0.005,0.02,20180611
195,0.023,0.02,20180611
196,0.008,0.0,20180611
197,0.002,0.004,20180611
199,0.013,0.009,20180611
200,0.003,0.02,20180611
201,0.014,0.029,20180611
202,0.018,0.028,20180611
205,0.0,0.025,20180611
206,0.02,0.025,20180611
211,0.011,0.001,20180611
212,0.03,0.016,20180611
213,0.029,0.031,20180611
214,0.033,0.03,20180611
215,0.008,0.02,20180611
216,0.024,0.02,20180611
219,0.015,0.014,20180611
220,0.007,0.009,20180611
222,0.02,0.017,20180611
223,0.014,0.003,20180611
224,0.011,0.027,20180611
225,0.016,0.031,20180611
226,0.005,0.033,20180611
227,0.023,0.012,20180611
228,0.023,0.013,20180611
229,0.006,0.001,20180611
230,0.018,0.011,20180611
231,0.031,0.023,20180611
232,0.023,0.0,20180611
233,0.01,0.03,20180611
234,0.008,0.026,20180611
237,0.017,0.022,20180611
241,0.013,0.028,20180611
244,0.008,0.024,20180611
245,0.009,0.023,20180611
246,0.024,0.028,20180611
249,0.003,0.011,20180611
250,0.017,0.022,20180611
252,0.03,0.03,20180611
253,0.015,0.022,20180611
254,0.027,0.011,20180611
255,0.001,0.009,20180611
256,0.004,0.021,20180611
257,0.032,0.033,20180611
258,0.009,0.003,20180611
261,0.021,0.003,20180611
262,0.025,0.031,20180611
263,0.029,0.006,20180611
264,0.031,0.01,20180611
265,0.001,0.015,20180611
266,0.03,0.01,20180611
267,0.008,0.027,20180611
268,0.006,0.033,20180611
269,0.026,0.004,20180611
270,0.017,0.022,20180611
271,0.018,0.002,20180611
272,0.03,0.028,20180611
273,0.017,0.021,20180611
274,0.018,0.0,20180611
275,0.032,0.002,20180611
276,0.008,0.008,20180611
281,0.024,0.026,20180611
282,0.025,0.011,20180611
